"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055074","calcium ion homeostasis","23/605","360/21273",0.0638888888888889,2.24646005509642,4.08088230898219,0.000282201247683363,0.015513652648179,0.0142060877540412,"CXCL10/CD40/CXCL9/CD19/CCL8/PML/CXCL11/CCL7/NT5E/CCL13/DDIT3/PRKCE/ASPH/CCR1/ANK2/UBASH3B/PLCG1/CXCL12/ATP1A2/ITPR1/CNR1/NPTN/BCL2",23
"GO:0032943","mononuclear cell proliferation","25/605","407/21273",0.0614250614250614,2.15982699453774,4.04206635545053,0.00028386974642832,0.015513652648179,0.0142060877540412,"EPHB2/CR2/CD22/MS4A1/CD40/FCRL3/CD19/FLT3/CD28/IRS2/TNFRSF13C/IL4I1/CD40LG/CD79A/VSIG4/ADA/MEF2C/IL7R/IL2RA/AHR/TNFRSF9/JAK2/PAWR/BCL2/BTN2A2",25
"GO:0002209","behavioral defense response","7/605","46/21273",0.152173913043478,5.35073661516349,5.05393930189302,0.000296812359738786,0.0160278674258944,0.0146769620492387,"EPHB2/GNG7/MEF2C/LARGE1/ATP1A2/BCL2/LYPD1",7
"GO:0097529","myeloid leukocyte migration","19/605","272/21273",0.0698529411764706,2.45616796305299,4.13531464617474,0.000312678646112078,0.0166860039854634,0.0152796277096998,"CCL2/STAP1/CXCL13/CXCL10/CXCL9/CCL8/CD200/CCL7/CCL13/SWAP70/CCR1/DAPK2/MAPK1/CXCL12/SAA1/SLAMF8/PTPRO/PIK3R1/CCL28",19
"GO:0051928","positive regulation of calcium ion transport","12/605","130/21273",0.0923076923076923,3.2457215511761,4.394170468639,0.000342523462096048,0.0180661212100892,0.0165434220493391,"CCL2/CXCL10/MS4A1/CXCL9/CD19/CXCL11/P2RX5/ASPH/CCR1/ANK2/PLCG1/CXCL12",12
"GO:0042832","defense response to protozoan","6/605","34/21273",0.176470588235294,6.20505590666019,5.19673352225447,0.00035204463015643,0.0183548786481559,0.0168078416285211,"CD40/GBP7/BATF2/GBP4/GBP1/IRF4",6
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","18/605","257/21273",0.0700389105058366,2.46270701353828,4.03628197640231,0.00043175845465711,0.0220351992325065,0.0201779671798642,"IFIT5/TRIM5/TRIM22/CUL1/BIRC3/CD40/TRIM38/TLR7/PRKCE/BST2/CASP8/APOL3/CD40LG/PARP1/DDX21/TRAF5/SHISA5/DAB2IP",18
"GO:0034764","positive regulation of transmembrane transport","16/605","214/21273",0.0747663551401869,2.62893334363173,4.097547065222,0.000434790521299171,0.0220351992325065,0.0201779671798642,"EPHB2/CCL2/CXCL10/MS4A1/CXCL9/CD19/CXCL11/IRS2/P2RX5/ASPH/ATP1B3/ANK2/AZIN1/PLCG1/HEPH/PIK3R1",16
"GO:2000106","regulation of leukocyte apoptotic process","11/605","115/21273",0.0956521739130435,3.36332015810277,4.34777234873335,0.000441762156653918,0.0220351992325065,0.0201779671798642,"AXL/IRF7/IRS2/ADA/GIMAP8/MEF2C/IL7R/CXCL12/PIP/BCL2/BIRC7",11
"GO:0034767","positive regulation of monoatomic ion transmembrane transport","13/605","153/21273",0.0849673202614379,2.98761951061416,4.22147899512281,0.000442064182133619,0.0220351992325065,0.0201779671798642,"EPHB2/CCL2/CXCL10/MS4A1/CXCL9/CD19/CXCL11/P2RX5/ASPH/ATP1B3/ANK2/PLCG1/HEPH",13
"GO:0097696","cell surface receptor signaling pathway via STAT","14/605","175/21273",0.08,2.81295867768595,4.12020579722447,0.00049854456765817,0.0245804147706245,0.0225086597709284,"EPHB2/CCL2/PARP14/CD40/FLT3/NMI/GBP7/STAT2/PARP9/IL7R/STAT1/JAK2/PTPRD/CISH",14
"GO:1904427","positive regulation of calcium ion transmembrane transport","9/605","82/21273",0.109756097560976,3.85924208828865,4.43828055438284,0.000530046735479031,0.025852602065945,0.023673621032261,"CXCL10/MS4A1/CXCL9/CD19/CXCL11/P2RX5/ASPH/ANK2/PLCG1",9
"GO:0071219","cellular response to molecule of bacterial origin","20/605","307/21273",0.0651465798045603,2.29068296228498,3.89729784392395,0.000539480578022777,0.0260328074671416,0.0238386378597746,"CMPK2/AXL/TRIM5/EPHB2/CCL2/STAP1/CXCL13/CXCL10/CD40/CXCL9/PRKCE/KMO/TLR10/CHMP5/MEF2C/MAPK1/AHR/DAB2IP/JAK2/CCL28",20
"GO:0001818","negative regulation of cytokine production","27/605","475/21273",0.0568421052631579,1.99868116572423,3.76613167763926,0.000555836810812586,0.026204313811588,0.023995688828675,"SIGLEC1/OAS3/XAF1/OAS1/AXL/EPHB2/DHX58/TWIST1/PML/CD200/NMI/GBP7/NDRG2/BANK1/IL1R2/CD83/DDIT3/BST2/LAG3/CD2AP/VSIG4/GBP1/UFD1/NPTN/FN1/SRGN/BTN2A2",27
"GO:0010212","response to ionizing radiation","13/605","157/21273",0.0828025477707006,2.91150181607622,4.11293018431124,0.000565586668483361,0.026204313811588,0.023995688828675,"IFI16/CXCL10/BRCA2/PML/CCL7/YAP1/AEN/PARP1/BRCA1/POLB/INTS7/TIGAR/BCL2",13
"GO:0032607","interferon-alpha production","6/605","37/21273",0.162162162162162,5.70194326557963,4.89750075144,0.000566142582349123,0.026204313811588,0.023995688828675,"IFIH1/RIGI/NMI/IRF7/TLR7/STAT1",6
"GO:0032647","regulation of interferon-alpha production","6/605","37/21273",0.162162162162162,5.70194326557963,4.89750075144,0.000566142582349123,0.026204313811588,0.023995688828675,"IFIH1/RIGI/NMI/IRF7/TLR7/STAT1",6
"GO:2000107","negative regulation of leukocyte apoptotic process","8/605","67/21273",0.119402985074627,4.19844578759097,4.48621042107666,0.000608797241069618,0.0278939826817352,0.0255429443196248,"AXL/IRF7/IRS2/ADA/IL7R/CXCL12/PIP/BCL2",8
"GO:0051209","release of sequestered calcium ion into cytosol","12/605","139/21273",0.0863309352517986,3.03556691836613,4.11940560737592,0.000629028540421836,0.0285327345935345,0.0261278591632059,"CXCL10/CXCL9/CD19/CXCL11/DDIT3/PRKCE/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2/ITPR1",12
"GO:0051283","negative regulation of sequestering of calcium ion","12/605","140/21273",0.0857142857142857,3.01388429752066,4.0902568444908,0.000670634894935626,0.0301188107270099,0.0275802532091296,"CXCL10/CXCL9/CD19/CXCL11/DDIT3/PRKCE/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2/ITPR1",12
"GO:0050858","negative regulation of antigen receptor-mediated signaling pathway","7/605","53/21273",0.132075471698113,4.64403555278341,4.54444104351845,0.00072010950103207,0.0320236931047203,0.0293245829832048,"CD22/FCRL3/CD72/GBP1/CD160/PAWR/BTN2A2",7
"GO:0034142","toll-like receptor 4 signaling pathway","8/605","69/21273",0.115942028985507,4.07675170679123,4.37966326732412,0.000742718448713863,0.0327084551783115,0.0299516300319357,"OAS1/IFI35/NMI/PIK3AP1/WDFY1/PRKCE/DAB2IP/PIK3R1",8
"GO:0051282","regulation of sequestering of calcium ion","12/605","142/21273",0.0845070422535211,2.97143522290769,4.03273126169143,0.000760786945508334,0.0331820152387096,0.0303852761839665,"CXCL10/CXCL9/CD19/CXCL11/DDIT3/PRKCE/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2/ITPR1",12
"GO:0062207","regulation of pattern recognition receptor signaling pathway","17/605","248/21273",0.0685483870967742,2.41029725406558,3.82209186774467,0.00078476903559971,0.0339020223379075,0.0310445976388617,"DDX60/RSAD2/EIF2AK2/OASL/DHX58/IFI16/IFI35/BIRC3/FCRL3/IRF7/WDFY1/CSNK1A1/PARP1/UFD1/IRF4/DAB2IP/PIK3R1",17
"GO:0035850","epithelial cell differentiation involved in kidney development","7/605","54/21273",0.12962962962963,4.55803489439853,4.47896067670635,0.000807379507177005,0.034549749476933,0.0316377312345627,"YAP1/CD2AP/PRKX/MEF2C/STAT1/BASP1/PTPRO",7
"GO:0048524","positive regulation of viral process","8/605","70/21273",0.114285714285714,4.01851239669421,4.32788737116861,0.000818039098268919,0.0346787415864282,0.0317558512717083,"IFIT1/AXL/CD28/GBP7/TRIM38/KPNA2/ADAR/TRIM21",8
"GO:0042596","fear response","7/605","55/21273",0.127272727272727,4.47516153268219,4.41506133795708,0.000902791361944149,0.0379172372016543,0.0347213909769163,"EPHB2/GNG7/MEF2C/LARGE1/ATP1A2/BCL2/LYPD1",7
"GO:0050871","positive regulation of B cell activation","9/605","89/21273",0.101123595505618,3.55570619370415,4.13365824489449,0.000964882179133921,0.0400677218308793,0.0366906224692866,"EPHB2/CD40/FCRL3/CD28/IRS2/TNFRSF13C/ADA/MEF2C/BCL2",9
"GO:0051208","sequestering of calcium ion","12/605","146/21273",0.0821917808219178,2.89002603871844,3.92064862844247,0.00097165992094284,0.0400677218308793,0.0366906224692866,"CXCL10/CXCL9/CD19/CXCL11/DDIT3/PRKCE/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2/ITPR1",12
"GO:0033260","nuclear DNA replication","6/605","41/21273",0.146341463414634,5.1456561177182,4.54592611826783,0.000994655473879797,0.040417284503487,0.0370107223268262,"BRCA2/PCNA/GINS1/MCM6/MCM3/FEN1",6
