"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000166946",39.2083333333333,9.65917602996255,29.5491573033708,2.28408690798358e-07,FALSE,0.00142654638880977,0.033492731893358,"CCNDBP1","cyclin D1 binding protein 1"
"ENSG00000113389",2.91666666666667,7.20224719101124,-4.28558052434457,0.0450798130118359,FALSE,0.0014270168063454,0.033492731893358,"NPR3","natriuretic peptide receptor 3"
"ENSG00000070476",24.8333333333333,5.19850187265918,19.6348314606742,8.15660025126062e-14,FALSE,0.00142840267635346,0.033492731893358,"ZXDC","ZXD family zinc finger C"
"ENSG00000083720",14.2916666666667,3.44194756554307,10.8497191011236,1.93064745139927e-07,FALSE,0.00143378887622069,0.0335347679181133,"OXCT1","3-oxoacid CoA-transferase 1"
"ENSG00000162444",3.25,0.970037453183521,2.27996254681648,0.000311668461743198,FALSE,0.0014339840317467,0.0335347679181133,"RBP7","retinol binding protein 7"
"ENSG00000125966",2.16666666666667,4.9438202247191,-2.77715355805243,0.0219084701412243,FALSE,0.00143595622280334,0.0335365870874507,"MMP24","matrix metallopeptidase 24"
"ENSG00000139112",86.4166666666667,19.3370786516854,67.0795880149813,5.08491759297831e-08,FALSE,0.00144945186360492,0.0338071756803663,"GABARAPL1","GABA type A receptor associated protein like 1"
"ENSG00000135074",6.79166666666667,2.00749063670412,4.78417602996255,0.00060611488722617,FALSE,0.0014558508758347,0.0338699146999066,"ADAM19","ADAM metallopeptidase domain 19"
"ENSG00000008516",6.79166666666667,1.8314606741573,4.96020599250936,0.00551993914963954,FALSE,0.00145596820237411,0.0338699146999066,"MMP25","matrix metallopeptidase 25"
"ENSG00000068976",24.5416666666667,6.40449438202247,18.1371722846442,4.29801930258834e-07,FALSE,0.00146551132333847,0.0340471744843319,"PYGM","glycogen phosphorylase, muscle associated"
"ENSG00000131724",1.33333333333333,0.314606741573034,1.0187265917603,1.07808911406399e-05,FALSE,0.0014750215410817,0.0342232062146388,"IL13RA1","interleukin 13 receptor subunit alpha 1"
"ENSG00000049089",47.6666666666667,6.88389513108614,40.7827715355805,1.65118527457292e-19,FALSE,0.00148325607647478,0.0343692176987343,"COL9A2","collagen type IX alpha 2 chain"
"ENSG00000064999",83.375,19.6516853932584,63.7233146067416,1.69060609705725e-07,FALSE,0.00148588471065309,0.0343851203041721,"ANKS1A","ankyrin repeat and sterile alpha motif domain containing 1A"
"ENSG00000196935",45,6.17977528089888,38.8202247191011,5.85145508300288e-17,FALSE,0.00148946997305531,0.0344230899908593,"SRGAP1","SLIT-ROBO Rho GTPase activating protein 1"
"ENSG00000101457",4.66666666666667,1.40823970037453,3.25842696629214,9.49556171330917e-05,FALSE,0.00149536493391648,0.0345142704369275,"DNTTIP1","deoxynucleotidyltransferase terminal interacting protein 1"
"ENSG00000051009",24.3333333333333,4.28838951310861,20.0449438202247,3.89176308595107e-10,FALSE,0.00150050319062149,0.0345877708119429,"FHIP1B","FHF complex subunit HOOK interacting protein 1B"
"ENSG00000111737",18.7916666666667,4.57303370786517,14.2186329588015,4.52408868065382e-07,FALSE,0.00152353168836476,0.0350729278011981,"RAB35","RAB35, member RAS oncogene family"
"ENSG00000196182",26.2916666666667,9.19850187265918,17.0931647940075,0.0131921870880043,FALSE,0.00154149980989865,0.0354404819930335,"STK40","serine/threonine kinase 40"
"ENSG00000197622",1.04166666666667,0.161048689138577,0.88061797752809,2.75872639560237e-13,FALSE,0.00154863166797285,0.0355582703218202,"CDC42SE1","CDC42 small effector 1"
"ENSG00000140941",115.5,23.3670411985019,92.1329588014981,2.79522459586568e-09,FALSE,0.00155230099067905,0.0355963528989524,"MAP1LC3B","microtubule associated protein 1 light chain 3 beta"
"ENSG00000151779",6.875,1.17602996254682,5.69897003745318,6.92496927349157e-13,FALSE,0.00155679857238953,0.0356533054683206,"NBAS","NBAS subunit of NRZ tethering complex"
"ENSG00000185359",27,7.59550561797753,19.4044943820225,0.000238291071085933,FALSE,0.00155945690173451,0.0356680433222301,"HGS","hepatocyte growth factor-regulated tyrosine kinase substrate"
"ENSG00000188026",5.625,1.13857677902622,4.48642322097378,1.07026016270316e-08,FALSE,0.00157082600298416,0.035881719652682,"RILPL1","Rab interacting lysosomal protein like 1"
"ENSG00000101336",77.2916666666667,24.0074906367041,53.2841760299626,0.0083473305139815,FALSE,0.00157392977095767,0.035906287029979,"HCK","HCK proto-oncogene, Src family tyrosine kinase"
"ENSG00000171791",39.9166666666667,9.73033707865168,30.186329588015,7.09441580550826e-07,FALSE,0.0015816411674395,0.036035770382473,"BCL2","BCL2 apoptosis regulator"
"ENSG00000142784",9.20833333333333,3.76779026217228,5.44054307116105,0.0956895072911725,TRUE,0.00159224048400643,0.036215327564689,"WDTC1","WD and tetratricopeptide repeats 1"
"ENSG00000260916",30.375,7.95131086142322,22.4236891385768,5.35349463672429e-07,FALSE,0.00159361352160045,0.036215327564689,"CCPG1","cell cycle progression 1"
"ENSG00000185215",10.0416666666667,3.27340823970037,6.76825842696629,0.0075833121146534,FALSE,0.00160597033286963,0.0364493497471681,"TNFAIP2","TNF alpha induced protein 2"
"ENSG00000148229",26.625,7.44943820224719,19.1755617977528,3.25786493535918e-06,FALSE,0.0016103554587473,0.0365020777032054,"POLE3","DNA polymerase epsilon 3, accessory subunit"
"ENSG00000125753",29.5833333333333,7.64794007490637,21.935393258427,8.08166277222033e-06,FALSE,0.00161280317924521,0.0365024414541035,"VASP","vasodilator stimulated phosphoprotein"
"ENSG00000089902",28.7083333333333,8.37078651685393,20.3375468164794,2.11659736429032e-06,FALSE,0.00161449537697356,0.0365024414541035,"RCOR1","REST corepressor 1"
"ENSG00000142405",14.2916666666667,3.80524344569288,10.4864232209738,5.43632792752618e-06,FALSE,0.0016222189871674,0.0366028666299295,"NLRP12","NLR family pyrin domain containing 12"
