"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000109118",40.7916666666667,6.88495575221239,33.9067109144543,1.36153353055758e-09,FALSE,0.000120957089484639,0.00705773881020776,"PHF12","PHD finger protein 12"
"ENSG00000141506",1.29166666666667,0.128318584070796,1.16334808259587,2.972972421413e-15,FALSE,0.000121014505012748,0.00705773881020776,"PIK3R5","phosphoinositide-3-kinase regulatory subunit 5"
"ENSG00000078618",22.5,3.29646017699115,19.2035398230088,1.2396654537781e-11,FALSE,0.000122371742346299,0.00711379808338698,"NRDC","nardilysin convertase"
"ENSG00000129465",87.2083333333333,21.8805309734513,65.327802359882,0.000285816495659478,FALSE,0.000123458085708676,0.00715379868898368,"RIPK3","receptor interacting serine/threonine kinase 3"
"ENSG00000022277",4.83333333333333,1,3.83333333333333,1.43939515893255e-06,FALSE,0.000124684566053431,0.00720163620584496,"RTF2","replication termination factor 2"
"ENSG00000114656",84.9166666666667,15.1150442477876,69.8016224188791,1.00092327413241e-09,FALSE,0.000125682807117145,0.00723602648796565,"CFAP92","cilia and flagella associated protein 92 (putative)"
"ENSG00000135636",7.875,1.97787610619469,5.89712389380531,0.000281287404584541,FALSE,0.000127475005167342,0.00731576203776664,"DYSF","dysferlin"
"ENSG00000169402",1.29166666666667,3.78318584070796,-2.4915191740413,0.0276750464258838,FALSE,0.000129150816575208,0.00738833158643461,"RSPH10B2","radial spoke head 10 homolog B2"
"ENSG00000225190",3.70833333333333,0.619469026548673,3.08886430678466,2.58634365159891e-10,FALSE,0.000129938615481736,0.00740980111078864,"PLEKHM1","pleckstrin homology and RUN domain containing M1"
"ENSG00000011198",32.7083333333333,8.0929203539823,24.615412979351,3.06408767144004e-05,FALSE,0.000131635341039399,0.00744167204599376,"ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
"ENSG00000181274",4.25,1.13716814159292,3.11283185840708,0.0066922128544831,FALSE,0.000131636275165907,0.00744167204599376,"FRAT2","FRAT regulator of WNT signaling pathway 2"
"ENSG00000114857",10.9166666666667,32.3053097345133,-21.3886430678466,0.0490995262978818,FALSE,0.000131740339065079,0.00744167204599376,"NKTR","natural killer cell triggering receptor"
"ENSG00000172382",2.79166666666667,9.02212389380531,-6.23045722713864,0.0361792430714789,FALSE,0.000132521661322615,0.00746234044620103,"PRSS27","serine protease 27"
"ENSG00000005302",68.5833333333333,8.93362831858407,59.6497050147493,1.3757185597528e-16,FALSE,0.000133667699157045,0.00746938684183477,"MSL3","MSL complex subunit 3"
"ENSG00000167193",57.0833333333333,10.2212389380531,46.8620943952802,2.76168313175228e-10,FALSE,0.000133866933190718,0.00746938684183477,"CRK","CRK proto-oncogene, adaptor protein"
"ENSG00000096063",100.375,18.1592920353982,82.2157079646018,1.99582467249263e-09,FALSE,0.000133894258368357,0.00746938684183477,"SRPK1","SRSF protein kinase 1"
"ENSG00000169902",99.9583333333333,15.6725663716814,84.2857669616519,1.45704888034743e-16,FALSE,0.000135875936080927,0.0075564688539371,"TPST1","tyrosylprotein sulfotransferase 1"
"ENSG00000102010",71.7916666666667,15.6946902654867,56.0969764011799,3.95637270157199e-08,FALSE,0.000138684641880895,0.0076888648830448,"BMX","BMX non-receptor tyrosine kinase"
"ENSG00000124126",42.6666666666667,4.95575221238938,37.7109144542773,1.65761354550261e-20,FALSE,0.000142235479598322,0.00786146436930665,"PREX1","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1"
"ENSG00000135334",286.791666666667,57.5309734513274,229.260693215339,1.85879265449999e-07,FALSE,0.000143259126970749,0.00789299432607186,"AKIRIN2","akirin 2"
"ENSG00000116793",71.1666666666667,8.26991150442478,62.8967551622419,9.25659151600362e-24,FALSE,0.000143684748907504,0.00789299432607186,"PHTF1","putative homeodomain transcription factor 1"
"ENSG00000178297",1.58333333333333,4.87610619469027,-3.29277286135693,0.0484178812758941,FALSE,0.000144326496087022,0.00790407575979019,"TMPRSS9","transmembrane serine protease 9"
"ENSG00000122592",5.66666666666667,12.0929203539823,-6.42625368731563,0.0145724816913184,FALSE,0.000144913680215204,0.00791211075290488,"HOXA7","homeobox A7"
"ENSG00000160161",0.25,0.933628318584071,-0.683628318584071,0.0163786772514958,FALSE,0.000145578373026527,0.0079243161050773,"CILP2","cartilage intermediate layer protein 2"
"ENSG00000168461",37.75,8.49557522123894,29.2544247787611,2.20855563267223e-06,FALSE,0.000148012890085812,0.00803249409248168,"RAB31","RAB31, member RAS oncogene family"
"ENSG00000120149",6.16666666666667,17.7699115044248,-11.6032448377581,0.0212621315717064,FALSE,0.000149340783823143,0.00808014608378049,"MSX2","msh homeobox 2"
"ENSG00000107317",3.375,8.38938053097345,-5.01438053097345,0.0414064303469453,FALSE,0.000150522073469324,0.0081196036208092,"PTGDS","prostaglandin D2 synthase"
"ENSG00000084070",32.5833333333333,5.25221238938053,27.3311209439528,1.02267845949351e-14,FALSE,0.000151312996283,0.00813783039590281,"SMAP2","small ArfGAP2"
"ENSG00000112195",12.3333333333333,2.30530973451327,10.0280235988201,5.17526298526357e-08,FALSE,0.000153863765178102,0.00825031287729628,"TREML2","triggering receptor expressed on myeloid cells like 2"
"ENSG00000075426",64.9583333333333,17.2654867256637,47.6928466076696,0.00206522829991297,FALSE,0.000160100871514801,0.00855920224708441,"FOSL2","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000177663",16.75,2.82743362831858,13.9225663716814,2.41361202750362e-08,FALSE,0.000161465476778113,0.00859093786153155,"IL17RA","interleukin 17 receptor A"
"ENSG00000197943",18.7083333333333,3.79203539823009,14.9162979351032,1.58916430648054e-05,FALSE,0.000161651004687283,0.00859093786153155,"PLCG2","phospholipase C gamma 2"
"ENSG00000112062",257.041666666667,43.0442477876106,213.997418879056,4.37412835850086e-15,FALSE,0.000162433495575947,0.00860705864610838,"MAPK14","mitogen-activated protein kinase 14"
"ENSG00000018280",15.75,4.19469026548673,11.5553097345133,0.000188145427172198,FALSE,0.000166122894019965,0.00877666336847246,"SLC11A1","solute carrier family 11 member 1"
"ENSG00000007944",57.75,13.429203539823,44.320796460177,1.43882765718305e-07,FALSE,0.000169494251445109,0.0089285197616085,"MYLIP","myosin regulatory light chain interacting protein"
