gene_name,drug_name,drug_id,mechanism,rho,p_val,pathway_associated,source
CCL2,Chondroitin sulfate,DB09301,NA,0.24347967646959767,2.054432543499574e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CCL2,Bindarit,DB12739,inhibitor,0.24347967646959767,2.054432543499574e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CCL2,CARLUMAB,CHEMBL1742999,C-C motif chemokine 2 inhibitor,0.24347967646959767,2.054432543499574e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,ChEMBL
SIGLEC1,Beta-D-Glucose,DB02379,NA,0.24275985451503068,2.2672767091820386e-8,HALLMARK_MITOTIC_SPINDLE,DrugBank
SIGLEC1,N-acetyl-alpha-neuraminic acid,DB03721,NA,0.24275985451503068,2.2672767091820386e-8,HALLMARK_MITOTIC_SPINDLE,DrugBank
MS4A1,Rituximab,DB00073,antibody|regulator,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,Ibritumomab tiuxetan,DB00078,antibody|regulator,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,Tositumomab,DB00081,antibody,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,Ofatumumab,DB06650,antibody|regulator,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,Obinutuzumab,DB08935,antibody|regulator,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,Technetium Tc-99m nofetumomab merpentan,DB09336,binder,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,Ublituximab,DB11850,binder|antibody,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,Ocrelizumab,DB11988,antagonist|antibody,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,Mosunetuzumab,DB15434,binder,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,Glofitamab,DB16371,binder|antibody,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,Epcoritamab,DB16672,binder|antibody,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,Odronextamab,DB16684,binder,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
MS4A1,TOSITUMOMAB,CHEMBL1201604,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,RITUXIMAB,CHEMBL1201576,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,OFATUMUMAB,CHEMBL1201836,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,OBINUTUZUMAB,CHEMBL1743048,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,VELTUZUMAB,CHEMBL1743088,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
