pathway,symbol,gene,rho,p_val,padj
HALLMARK_INTERFERON_GAMMA_RESPONSE,IFIT1,ENSG00000185745,0.20737896035928308,1.9777042206230556e-6,1.1684367464370696e-5
HALLMARK_TNFA_SIGNALING_VIA_NFKB,CCL2,ENSG00000108691,0.20683511128363918,2.1063817361502748e-6,1.2303184231605014e-5
HALLMARK_INTERFERON_ALPHA_RESPONSE,IRF7,ENSG00000185507,0.20589270830013143,2.3485633729993493e-6,1.3563613187883884e-5
HALLMARK_INTERFERON_ALPHA_RESPONSE,MOV10,ENSG00000155363,0.20477203409408426,2.6713084809145012e-6,1.5125598532352077e-5
HALLMARK_IL2_STAT5_SIGNALING,BCL2,ENSG00000171791,-0.20475059508879828,2.6778783393852896e-6,1.5125598532352077e-5
HALLMARK_NOTCH_SIGNALING,CUL1,ENSG00000055130,0.20438426299181112,2.792556637473273e-6,1.56018925180572e-5
HALLMARK_G2M_CHECKPOINT,CDC20,ENSG00000117399,0.20401977646897357,2.9113116133744848e-6,1.6090474938435324e-5
HALLMARK_INTERFERON_GAMMA_RESPONSE,IRF4,ENSG00000137265,0.2022512990715464,3.559445838766417e-6,1.9463352777935512e-5
HALLMARK_INFLAMMATORY_RESPONSE,CCL7,ENSG00000108688,0.20182148723621707,3.7366517551439784e-6,2.021725265414742e-5
HALLMARK_COMPLEMENT,IRF7,ENSG00000185507,0.2004161835165906,4.376796593435184e-6,2.3434098427350884e-5
HALLMARK_INTERFERON_ALPHA_RESPONSE,LGALS3BP,ENSG00000108679,0.19883314837911248,5.223220015074554e-6,2.750620491605508e-5
HALLMARK_INTERFERON_GAMMA_RESPONSE,LAP3,ENSG00000002549,0.1987968108740391,5.244373699948245e-6,2.750620491605508e-5
HALLMARK_TGF_BETA_SIGNALING,LEFTY2,ENSG00000143768,0.19806943972921204,5.6854163363092075e-6,2.9518222190534673e-5
HALLMARK_INTERFERON_ALPHA_RESPONSE,IFIT2,ENSG00000119922,0.19781104051953954,5.850452619694962e-6,3.0071326465232103e-5
HALLMARK_INTERFERON_GAMMA_RESPONSE,RNF213,ENSG00000173821,0.19709489854273016,6.332075726207738e-6,3.222462300268097e-5
HALLMARK_PROTEIN_SECRETION,MAPK1,ENSG00000100030,-0.19654974220873744,6.723823381506951e-6,3.388279625582914e-5
HALLMARK_INTERFERON_GAMMA_RESPONSE,SP110,ENSG00000135899,0.19629692617271213,6.913243770086695e-6,3.449909997887923e-5
HALLMARK_INTERFERON_ALPHA_RESPONSE,OASL,ENSG00000135114,0.19580324387236706,7.297902352644281e-6,3.606847893518424e-5
HALLMARK_INFLAMMATORY_RESPONSE,AXL,ENSG00000167601,0.1935062924739696,9.372075916987755e-6,4.5878543060301965e-5
HALLMARK_INTERFERON_GAMMA_RESPONSE,SAMD9L,ENSG00000177409,0.19329911075951017,9.584557639066237e-6,4.6476062513962696e-5
HALLMARK_MITOTIC_SPINDLE,TPX2,ENSG00000088325,0.1927287166052961,1.0193506500864603e-5,4.896693777050847e-5
HALLMARK_INTERFERON_ALPHA_RESPONSE,IFIT3,ENSG00000119917,0.1916279519972281,1.147434274906353e-5,5.4609371972394955e-5
HALLMARK_INTERFERON_GAMMA_RESPONSE,IFIT2,ENSG00000119922,0.19016303898426704,1.341791251856691e-5,6.327345903250817e-5
HALLMARK_COMPLEMENT,LAP3,ENSG00000002549,0.1895013902227929,1.4394935069472676e-5,6.726360568826323e-5
HALLMARK_INTERFERON_GAMMA_RESPONSE,IFIT3,ENSG00000119917,0.18776846072243264,1.728461622053372e-5,8.003867330949848e-5
HALLMARK_INTERFERON_GAMMA_RESPONSE,APOL6,ENSG00000221963,0.18699505164030492,1.8745038707024718e-5,8.60263383518813e-5
HALLMARK_INTERFERON_ALPHA_RESPONSE,GBP4,ENSG00000162654,0.1865071184249567,1.9725896555618806e-5,8.972664450962891e-5
HALLMARK_G2M_CHECKPOINT,TPX2,ENSG00000088325,0.18617836974226715,2.0414027161401524e-5,9.204219264000337e-5
HALLMARK_HYPOXIA,DDIT3,ENSG00000175197,0.18606611346877927,2.0654175261001254e-5,9.231518334047517e-5
HALLMARK_INTERFERON_GAMMA_RESPONSE,MT2A,ENSG00000125148,0.18450065815942968,2.429548195437939e-5,1.0765411831509489e-4
HALLMARK_E2F_TARGETS,CDC20,ENSG00000117399,0.1839141035423582,2.5810543075502048e-5,1.1338990718639361e-4
HALLMARK_TNFA_SIGNALING_VIA_NFKB,DUSP5,ENSG00000138166,0.18353605159213607,2.6834073167296482e-5,1.1688740345754569e-4
HALLMARK_INTERFERON_ALPHA_RESPONSE,LAP3,ENSG00000002549,0.18252444757528116,2.9765479248108718e-5,1.2856685994561243e-4
HALLMARK_COMPLEMENT,DUSP5,ENSG00000138166,0.18225181057343787,3.060598155815394e-5,1.3109562100742603e-4
HALLMARK_ESTROGEN_RESPONSE_EARLY,CXCL12,ENSG00000107562,0.18167246123547295,3.246729454565816e-5,1.3699064100552256e-4
HALLMARK_INTERFERON_GAMMA_RESPONSE,OASL,ENSG00000135114,0.18165794278669475,3.25152883320501e-5,1.3699064100552256e-4
HALLMARK_HEDGEHOG_SIGNALING,PML,ENSG00000140464,-0.1790541278036673,4.2299170821124616e-5,1.7676238863461831e-4
HALLMARK_TNFA_SIGNALING_VIA_NFKB,SIK1,ENSG00000142178,0.17884782484334688,4.318321729552481e-5,1.7900140072499803e-4
HALLMARK_INTERFERON_GAMMA_RESPONSE,GBP4,ENSG00000162654,0.17851860292708654,4.463028272506212e-5,1.8351972256545546e-4
HALLMARK_INFLAMMATORY_RESPONSE,IRF7,ENSG00000185507,0.17656893881687108,5.418481525265114e-5,2.2103964317351339e-4
HALLMARK_TNFA_SIGNALING_VIA_NFKB,ATF3,ENSG00000162772,0.17426334782063618,6.797536871354822e-5,2.751129095965652e-4
HALLMARK_INTERFERON_ALPHA_RESPONSE,CNP,ENSG00000173786,0.1694295098720324,1.0833480561143837e-4,4.350319537834322e-4
HALLMARK_ESTROGEN_RESPONSE_EARLY,BCL2,ENSG00000171791,-0.16895167270052447,1.1336560073262667e-4,4.5170479671759775e-4
HALLMARK_ALLOGRAFT_REJECTION,C2,ENSG00000166278,0.16711059937811779,1.3487732215807665e-4,5.332841814557801e-4
