"pathway","diff_score","AveExpr","t_stat","p_val","padj","B"
"GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE",0.000738914376686217,0.450049672583467,0.522918215665272,0.60149533636919,0.710026292899782,-9.48740286547416
"GOBP_CGMP_METABOLIC_PROCESS",0.000764141126563866,0.102120016947517,0.522242735923273,0.601964809918537,0.7105054173476,-9.48775687038825
"HP_HETEROTAXY",0.000400527817820372,0.172144682650699,0.521836438140166,0.602247276001099,0.710763737012704,-9.48796958271338
"GOBP_BASE_EXCISION_REPAIR_GAP_FILLING",0.000887694579478432,0.395941256445364,0.521556277600798,0.602442084023594,0.710888366552235,-9.48811616117437
"GOBP_METANEPHRIC_TUBULE_MORPHOGENESIS",0.000977397525934585,0.0764683721995347,0.521501585276698,0.602480117348279,0.710888366552235,-9.48814476673582
"GOBP_GLYCEROLIPID_CATABOLIC_PROCESS",-0.000412158654960207,0.218895003834803,-0.521222769406916,0.602674024253117,0.71100300021108,-9.48829054843415
"GOBP_DETOXIFICATION",-0.000300402067371364,0.239649530798639,-0.521178909372925,0.602704529980253,0.71100300021108,-9.48831347401547
"GOBP_DETECTION_OF_MECHANICAL_STIMULUS",-0.00041760232678336,0.15443861058011,-0.520908219836139,0.602892816654179,0.711150040461712,-9.48845492047357
"GOBP_STEROID_HORMONE_SECRETION",-0.000541009927778655,0.134353531355796,-0.520435654208174,0.603221588448942,0.711462743226565,-9.48870167978287
"GOBP_INSULIN_SECRETION",-0.000207921272886324,0.237356514586157,-0.520083862756639,0.603466388297435,0.711676350695044,-9.4888852294107
"HP_EEG_WITH_FOCAL_SHARP_WAVES",0.000585394112026891,0.175333319435982,0.519951780534387,0.603558311478059,0.711703449341565,-9.48895411224746
"GOBP_CARDIAC_RIGHT_VENTRICLE_MORPHOGENESIS",0.000475141485907153,0.131259296092293,0.519805457608145,0.603660152929144,0.711703449341565,-9.48903040143949
"GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS",0.000305191771658345,0.10083168957558,0.519776303811142,0.603680445038425,0.711703449341565,-9.48904559895589
"HP_CHILDHOOD_ONSET_SENSORINEURAL_HEARING_IMPAIRMENT",0.000456660874709983,0.247278905721337,0.519164701409516,0.6041062137626,0.71213027034321,-9.48936422369464
"HP_HYPOCALCIURIA",-0.000797012579700405,0.145963383160625,-0.518744411133112,0.604398878636477,0.712400112856962,-9.48958296410482
"GOMF_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION",0.000435606964289736,0.327664227998475,0.518403601572516,0.604636244912296,0.712534372703967,-9.48976020892429
"GOBP_BONE_TRABECULA_FORMATION",-0.000857836124711617,0.156544541385375,-0.518397752865398,0.604640318773852,0.712534372703967,-9.48976324964674
"GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS",0.000420176832178432,0.385423370527081,0.518128278948854,0.604828031710932,0.712680420366757,-9.48990331107493
"HP_SINUS_BRADYCARDIA",-0.000495349370656033,0.168819587133967,-0.517913663953954,0.604977549256484,0.712781435617034,-9.49001480711383
"HP_GENERALIZED_HYPERKERATOSIS",-0.000548701132862706,0.406533480646317,-0.517628381249331,0.60517632524533,0.712889785225387,-9.49016294483821
"GOMF_NADH_DEHYDROGENASE_UBIQUINONE_ACTIVITY",0.000878617170073953,0.43938636100168,0.517598554048712,0.605197109597997,0.712889785225387,-9.49017842839856
